genome	rate	S_alg	k	d	M_alg	M_compr_alg	kmer_count	l	o	z	r	tigs_ns	tigs_cl	enc0_xz_bytes	S_xz_bytes	M_compr_bytes	enc1_compr_bytes	enc2_xz_bytes	pref
escherichia_coli.k32	0.2	eulertigs	31	na	default	xz	32459787	809702277	32459787	777242490	25908083	25908083	809702277	208456788	189730468	7686036	197416504	214530408	escherichia_coli.k32.r_0.2.S_eulertigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.2	eulertigs	31	na	ones	bzip	32459787	809702277	33399732	776302545	26788023	25908083	809702277	208456788	189730468	5350613	195081081	215371188	escherichia_coli.k32.r_0.2.S_eulertigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.2	eulertigs	31	na	ones	xz	32459787	809702277	33399732	776302545	26788023	25908083	809702277	208456788	189730468	10111520	199841988	215371188	escherichia_coli.k32.r_0.2.S_eulertigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.2	eulertigs	31	na	runsapprox	bzip	32459787	809702277	33399732	776302545	26788023	25908083	809702277	208456788	189730468	5350613	195081081	215371188	escherichia_coli.k32.r_0.2.S_eulertigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.2	eulertigs	31	na	runsapprox	xz	32459787	809702277	33399732	776302545	26788023	25908083	809702277	208456788	189730468	10111520	199841988	215371188	escherichia_coli.k32.r_0.2.S_eulertigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.3	eulertigs	31	na	default	bzip	48689681	1068469661	48689681	1019779980	33992666	33992666	1068469661	276335324	251049204	7323031	258372235	286574840	escherichia_coli.k32.r_0.3.S_eulertigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.3	eulertigs	31	na	default	xz	48689681	1068469661	48689681	1019779980	33992666	33992666	1068469661	276335324	251049204	13347908	264397112	286574840	escherichia_coli.k32.r_0.3.S_eulertigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.3	eulertigs	31	na	ones	bzip	48689681	1068469661	50551120	1017918541	35671390	33992666	1068469661	276335324	251049204	9531024	260580228	288195164	escherichia_coli.k32.r_0.3.S_eulertigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.3	eulertigs	31	na	ones	xz	48689681	1068469661	50551120	1017918541	35671390	33992666	1068469661	276335324	251049204	17328644	268377848	288195164	escherichia_coli.k32.r_0.3.S_eulertigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.3	eulertigs	31	na	runsapprox	bzip	48689681	1068469661	50551120	1017918541	35671390	33992666	1068469661	276335324	251049204	9531024	260580228	288195164	escherichia_coli.k32.r_0.3.S_eulertigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.3	eulertigs	31	na	runsapprox	xz	48689681	1068469661	50551120	1017918541	35671390	33992666	1068469661	276335324	251049204	17328644	268377848	288195164	escherichia_coli.k32.r_0.3.S_eulertigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.4	eulertigs	31	na	default	bzip	64919574	1230909834	64919574	1165990260	38866342	38866342	1230909834	319110100	289538336	10544505	300082841	333254352	escherichia_coli.k32.r_0.4.S_eulertigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.4	eulertigs	31	na	default	xz	64919574	1230909834	64919574	1165990260	38866342	38866342	1230909834	319110100	289538336	18958864	308497200	333254352	escherichia_coli.k32.r_0.4.S_eulertigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.4	eulertigs	31	na	ones	bzip	64919574	1230909834	67781313	1163128521	41344650	38866342	1230909834	319110100	289538336	13787209	303325545	335693776	escherichia_coli.k32.r_0.4.S_eulertigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.4	eulertigs	31	na	ones	xz	64919574	1230909834	67781313	1163128521	41344650	38866342	1230909834	319110100	289538336	24145404	313683740	335693776	escherichia_coli.k32.r_0.4.S_eulertigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.4	eulertigs	31	na	runsapprox	bzip	64919574	1230909834	67781313	1163128521	41344650	38866342	1230909834	319110100	289538336	13787209	303325545	335693776	escherichia_coli.k32.r_0.4.S_eulertigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.4	eulertigs	31	na	runsapprox	xz	64919574	1230909834	67781313	1163128521	41344650	38866342	1230909834	319110100	289538336	24145404	313683740	335693776	escherichia_coli.k32.r_0.4.S_eulertigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.5	eulertigs	31	na	default	bzip	81149468	1297960058	81149468	1216810590	40560353	40560353	1297960058	337502532	306072424	13415457	319487881	355218172	escherichia_coli.k32.r_0.5.S_eulertigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.5	eulertigs	31	na	default	xz	81149468	1297960058	81149468	1216810590	40560353	40560353	1297960058	337502532	306072424	23822556	329894980	355218172	escherichia_coli.k32.r_0.5.S_eulertigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.5	eulertigs	31	na	ones	bzip	81149468	1297960058	84924233	1213035825	43681839	40560353	1297960058	337502532	306072424	17542442	323614866	358398156	escherichia_coli.k32.r_0.5.S_eulertigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.5	eulertigs	31	na	ones	xz	81149468	1297960058	84924233	1213035825	43681839	40560353	1297960058	337502532	306072424	29643720	335716144	358398156	escherichia_coli.k32.r_0.5.S_eulertigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.5	eulertigs	31	na	runsapprox	bzip	81149468	1297960058	84924233	1213035825	43681839	40560353	1297960058	337502532	306072424	17542442	323614866	358398156	escherichia_coli.k32.r_0.5.S_eulertigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.5	eulertigs	31	na	runsapprox	xz	81149468	1297960058	84924233	1213035825	43681839	40560353	1297960058	337502532	306072424	29643720	335716144	358398156	escherichia_coli.k32.r_0.5.S_eulertigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.6	eulertigs	31	na	default	bzip	97379362	1270349632	97379362	1172970270	39099009	39099009	1270349632	332173560	301161020	15488416	316649436	352650376	escherichia_coli.k32.r_0.6.S_eulertigs.k_31.d_na.M_default.C_bzip
