genome	k	S_alg	algorithm	camel_DS	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	camel_mem_bytes	camel_real_s	camel_usr_s	camel_sys_s	pref0	pref
spneumoniae	4	pseudosimplitigsAC	loc-greedy	AC	1	runs	136	154	151	3	1	160	76	236	160	8460000	0.18	0.15	0	spneumoniae.S_pseudosimplitigsAC.k_4.d_1	spneumoniae.S_pseudosimplitigsAC.k_4.d_1.M_runs
spneumoniae	4	pseudosimplitigsAC	loc-greedy	AC	1	zeros	136	154	136	18	8	160	84	244	172	8460000	0.18	0.15	0	spneumoniae.S_pseudosimplitigsAC.k_4.d_1	spneumoniae.S_pseudosimplitigsAC.k_4.d_1.M_zeros
spneumoniae	4	pseudosimplitigsAC	loc-greedy	AC	2	default	136	152	136	16	12	156	88	244	168	8460000	0.13	0.08	0	spneumoniae.S_pseudosimplitigsAC.k_4.d_2	spneumoniae.S_pseudosimplitigsAC.k_4.d_2.M_default
spneumoniae	4	pseudosimplitigsAC	loc-greedy	AC	2	ones	136	152	149	3	1	156	76	232	160	8460000	0.13	0.08	0	spneumoniae.S_pseudosimplitigsAC.k_4.d_2	spneumoniae.S_pseudosimplitigsAC.k_4.d_2.M_ones
spneumoniae	4	pseudosimplitigsAC	loc-greedy	AC	2	runs	136	152	149	3	1	156	76	232	160	8460000	0.13	0.08	0	spneumoniae.S_pseudosimplitigsAC.k_4.d_2	spneumoniae.S_pseudosimplitigsAC.k_4.d_2.M_runs
spneumoniae	4	pseudosimplitigsAC	loc-greedy	AC	2	zeros	136	152	136	16	12	156	88	244	168	8460000	0.13	0.08	0	spneumoniae.S_pseudosimplitigsAC.k_4.d_2	spneumoniae.S_pseudosimplitigsAC.k_4.d_2.M_zeros
spneumoniae	4	pseudosimplitigsAC	loc-greedy	AC	3	default	136	153	136	17	13	156	88	244	168	8420000	0.2	0.17	0	spneumoniae.S_pseudosimplitigsAC.k_4.d_3	spneumoniae.S_pseudosimplitigsAC.k_4.d_3.M_default
spneumoniae	4	pseudosimplitigsAC	loc-greedy	AC	3	ones	136	153	150	3	1	156	76	232	160	8420000	0.2	0.17	0	spneumoniae.S_pseudosimplitigsAC.k_4.d_3	spneumoniae.S_pseudosimplitigsAC.k_4.d_3.M_ones
spneumoniae	4	pseudosimplitigsAC	loc-greedy	AC	3	runs	136	153	150	3	1	156	76	232	160	8420000	0.2	0.17	0	spneumoniae.S_pseudosimplitigsAC.k_4.d_3	spneumoniae.S_pseudosimplitigsAC.k_4.d_3.M_runs
spneumoniae	4	pseudosimplitigsAC	loc-greedy	AC	3	zeros	136	153	136	17	13	156	88	244	168	8420000	0.2	0.17	0	spneumoniae.S_pseudosimplitigsAC.k_4.d_3	spneumoniae.S_pseudosimplitigsAC.k_4.d_3.M_zeros
spneumoniae	5	pseudosimplitigs	loc-greedy	HT	1	default	512	564	512	52	13	272	96	368	308	8432000	0.16	0.11	0	spneumoniae.S_pseudosimplitigs.k_5.d_1	spneumoniae.S_pseudosimplitigs.k_5.d_1.M_default
spneumoniae	5	pseudosimplitigs	loc-greedy	HT	1	ones	512	564	560	4	1	272	76	348	272	8432000	0.16	0.11	0	spneumoniae.S_pseudosimplitigs.k_5.d_1	spneumoniae.S_pseudosimplitigs.k_5.d_1.M_ones
spneumoniae	5	pseudosimplitigs	loc-greedy	HT	1	runs	512	564	560	4	1	272	76	348	272	8432000	0.16	0.11	0	spneumoniae.S_pseudosimplitigs.k_5.d_1	spneumoniae.S_pseudosimplitigs.k_5.d_1.M_runs
spneumoniae	5	pseudosimplitigs	loc-greedy	HT	1	zeros	512	564	512	52	21	272	112	384	316	8432000	0.16	0.11	0	spneumoniae.S_pseudosimplitigs.k_5.d_1	spneumoniae.S_pseudosimplitigs.k_5.d_1.M_zeros
spneumoniae	5	pseudosimplitigs	loc-greedy	HT	2	default	512	558	512	46	31	272	112	384	316	8432000	0.33	0.27	0	spneumoniae.S_pseudosimplitigs.k_5.d_2	spneumoniae.S_pseudosimplitigs.k_5.d_2.M_default
spneumoniae	5	pseudosimplitigs	loc-greedy	HT	2	ones	512	558	554	4	1	272	76	348	276	8432000	0.33	0.27	0	spneumoniae.S_pseudosimplitigs.k_5.d_2	spneumoniae.S_pseudosimplitigs.k_5.d_2.M_ones
spneumoniae	5	pseudosimplitigs	loc-greedy	HT	2	runs	512	558	554	4	1	272	76	348	276	8432000	0.33	0.27	0	spneumoniae.S_pseudosimplitigs.k_5.d_2	spneumoniae.S_pseudosimplitigs.k_5.d_2.M_runs
spneumoniae	5	pseudosimplitigs	loc-greedy	HT	2	zeros	512	558	512	46	29	272	112	384	312	8432000	0.33	0.27	0	spneumoniae.S_pseudosimplitigs.k_5.d_2	spneumoniae.S_pseudosimplitigs.k_5.d_2.M_zeros
spneumoniae	5	pseudosimplitigs	loc-greedy	HT	3	default	512	553	512	41	32	272	120	392	312	8448000	0.16	0.12	0	spneumoniae.S_pseudosimplitigs.k_5.d_3	spneumoniae.S_pseudosimplitigs.k_5.d_3.M_default
spneumoniae	5	pseudosimplitigs	loc-greedy	HT	3	ones	512	553	549	4	1	272	76	348	276	8448000	0.16	0.12	0	spneumoniae.S_pseudosimplitigs.k_5.d_3	spneumoniae.S_pseudosimplitigs.k_5.d_3.M_ones
spneumoniae	5	pseudosimplitigs	loc-greedy	HT	3	runs	512	553	549	4	1	272	76	348	276	8448000	0.16	0.12	0	spneumoniae.S_pseudosimplitigs.k_5.d_3	spneumoniae.S_pseudosimplitigs.k_5.d_3.M_runs
spneumoniae	5	pseudosimplitigs	loc-greedy	HT	3	zeros	512	553	512	41	31	272	120	392	312	8448000	0.16	0.12	0	spneumoniae.S_pseudosimplitigs.k_5.d_3	spneumoniae.S_pseudosimplitigs.k_5.d_3.M_zeros
spneumoniae	5	pseudosimplitigs	loc-greedy	HT	4	default	512	554	512	42	33	272	120	392	316	8460000	0.17	0.13	0	spneumoniae.S_pseudosimplitigs.k_5.d_4	spneumoniae.S_pseudosimplitigs.k_5.d_4.M_default
spneumoniae	5	pseudosimplitigs	loc-greedy	HT	4	ones	512	554	550	4	1	272	76	348	276	8460000	0.17	0.13	0	spneumoniae.S_pseudosimplitigs.k_5.d_4	spneumoniae.S_pseudosimplitigs.k_5.d_4.M_ones
spneumoniae	5	pseudosimplitigs	loc-greedy	HT	4	runs	512	554	550	4	1	272	76	348	276	8460000	0.17	0.13	0	spneumoniae.S_pseudosimplitigs.k_5.d_4	spneumoniae.S_pseudosimplitigs.k_5.d_4.M_runs
spneumoniae	5	pseudosimplitigs	loc-greedy	HT	4	zeros	512	554	512	42	32	272	120	392	312	8460000	0.17	0.13	0	spneumoniae.S_pseudosimplitigs.k_5.d_4	spneumoniae.S_pseudosimplitigs.k_5.d_4.M_zeros
spneumoniae	5	pseudosimplitigsAC	loc-greedy	AC	1	default	512	524	512	12	3	308	80	388	320	8460000	0.18	0.14	0.01	spneumoniae.S_pseudosimplitigsAC.k_5.d_1	spneumoniae.S_pseudosimplitigsAC.k_5.d_1.M_default
spneumoniae	5	pseudosimplitigsAC	loc-greedy	AC	1	ones	512	524	520	4	1	308	76	384	312	8460000	0.18	0.14	0.01	spneumoniae.S_pseudosimplitigsAC.k_5.d_1	spneumoniae.S_pseudosimplitigsAC.k_5.d_1.M_ones
spneumoniae	5	pseudosimplitigsAC	loc-greedy	AC	1	runs	512	524	520	4	1	308	76	384	312	8460000	0.18	0.14	0.01	spneumoniae.S_pseudosimplitigsAC.k_5.d_1	spneumoniae.S_pseudosimplitigsAC.k_5.d_1.M_runs
