pref	genome	rate	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.1.S_local.k_31.d_1	escherichia_coli.k32	0.1	local	31	1	44.84	8.06	35.04	96%	278160	0	0	44.845298
escherichia_coli.k32.r_0.2.S_local.k_31.d_1	escherichia_coli.k32	0.2	local	31	1	100.87	16.74	81.01	96%	552600	0	0	100.880784
escherichia_coli.k32.r_0.3.S_local.k_31.d_1	escherichia_coli.k32	0.3	local	31	1	150.90	22.70	124.33	97%	552592	0	0	150.908195
escherichia_coli.k32.r_0.4.S_local.k_31.d_1	escherichia_coli.k32	0.4	local	31	1	186.55	26.36	154.02	96%	1101476	0	0	186.554811
escherichia_coli.k32.r_0.5.S_local.k_31.d_1	escherichia_coli.k32	0.5	local	31	1	228.53	30.32	191.19	96%	1101480	0	0	228.537667
escherichia_coli.k32.r_0.6.S_local.k_31.d_1	escherichia_coli.k32	0.6	local	31	1	243.45	25.89	210.96	97%	1101480	0	0	243.459076
escherichia_coli.k32.r_0.7.S_local.k_31.d_1	escherichia_coli.k32	0.7	local	31	1	241.62	25.48	208.75	96%	2199228	0	0	241.632502
escherichia_coli.k32.r_0.8.S_local.k_31.d_1	escherichia_coli.k32	0.8	local	31	1	246.90	18.45	217.70	95%	2199240	0	0	246.910742
escherichia_coli.k32.r_0.9.S_local.k_31.d_1	escherichia_coli.k32	0.9	local	31	1	269.69	13.62	243.80	95%	2199240	0	0	269.695339
escherichia_coli.k32.r_1.0.S_local.k_31.d_1	escherichia_coli.k32	1.0	local	31	1	151.72	2.03	149.21	99%	2199240	0	0	151.733309
escherichia_coli.k32.r_0.000000001.S_local.k_31.d_2	escherichia_coli.k32	0.000000001	local	31	2	0.00	0.00	0.00	66%	4068	0	0	0.006863
escherichia_coli.k32.r_0.0001.S_local.k_31.d_2	escherichia_coli.k32	0.0001	local	31	2	0.06	0.01	0.04	93%	4468	0	0	0.066045
escherichia_coli.k32.r_0.001.S_local.k_31.d_2	escherichia_coli.k32	0.001	local	31	2	0.72	0.14	0.54	95%	6260	0	0	0.729494
escherichia_coli.k32.r_0.01.S_local.k_31.d_2	escherichia_coli.k32	0.01	local	31	2	7.07	1.20	5.53	95%	37996	0	0	7.076884
escherichia_coli.k32.r_0.05.S_local.k_31.d_2	escherichia_coli.k32	0.05	local	31	2	41.67	5.33	35.05	96%	141072	0	0	41.67346
escherichia_coli.k32.r_0.1.S_local.k_31.d_2	escherichia_coli.k32	0.1	local	31	2	80.74	9.96	68.70	97%	278160	0	0	80.747281
escherichia_coli.k32.r_0.2.S_local.k_31.d_2	escherichia_coli.k32	0.2	local	31	2	146.52	13.31	130.15	97%	552600	0	0	146.531284
escherichia_coli.k32.r_0.3.S_local.k_31.d_2	escherichia_coli.k32	0.3	local	31	2	288.60	17.76	266.35	98%	552600	0	0	288.613414
escherichia_coli.k32.r_0.4.S_local.k_31.d_2	escherichia_coli.k32	0.4	local	31	2	243.87	15.31	223.35	97%	1101480	0	0	243.874305
escherichia_coli.k32.r_0.5.S_local.k_31.d_2	escherichia_coli.k32	0.5	local	31	2	316.06	15.98	292.82	97%	1101480	0	0	316.064098
escherichia_coli.k32.r_0.6.S_local.k_31.d_2	escherichia_coli.k32	0.6	local	31	2	335.94	11.63	317.18	97%	1101460	0	0	335.950631
escherichia_coli.k32.r_0.7.S_local.k_31.d_2	escherichia_coli.k32	0.7	local	31	2	260.09	10.60	242.06	97%	2199120	0	0	260.100401
escherichia_coli.k32.r_0.8.S_local.k_31.d_2	escherichia_coli.k32	0.8	local	31	2	236.59	6.48	222.30	96%	2199240	0	0	236.603693
escherichia_coli.k32.r_0.9.S_local.k_31.d_2	escherichia_coli.k32	0.9	local	31	2	239.03	5.44	223.47	95%	2199240	0	0	239.03977
escherichia_coli.k32.r_1.0.S_local.k_31.d_2	escherichia_coli.k32	1.0	local	31	2	163.63	1.92	161.27	99%	2199240	0	0	163.635171
escherichia_coli.k32.r_0.000000001.S_local.k_31.d_3	escherichia_coli.k32	0.000000001	local	31	3	0.00	0.00	0.00	75%	4068	0	0	0.007996
escherichia_coli.k32.r_0.0001.S_local.k_31.d_3	escherichia_coli.k32	0.0001	local	31	3	0.11	0.01	0.10	100%	4468	0	0	0.120135
escherichia_coli.k32.r_0.001.S_local.k_31.d_3	escherichia_coli.k32	0.001	local	31	3	1.51	0.11	1.36	97%	6260	0	0	1.519442
escherichia_coli.k32.r_0.01.S_local.k_31.d_3	escherichia_coli.k32	0.01	local	31	3	14.32	1.04	12.92	97%	37996	0	0	14.326998
escherichia_coli.k32.r_0.05.S_local.k_31.d_3	escherichia_coli.k32	0.05	local	31	3	93.42	5.07	87.12	98%	141072	0	0	93.425806
escherichia_coli.k32.r_0.1.S_local.k_31.d_3	escherichia_coli.k32	0.1	local	31	3	170.18	7.84	160.38	98%	278160	0	0	170.191213
escherichia_coli.k32.r_0.2.S_local.k_31.d_3	escherichia_coli.k32	0.2	local	31	3	356.71	12.89	340.22	98%	552600	0	0	356.71864
escherichia_coli.k32.r_0.3.S_local.k_31.d_3	escherichia_coli.k32	0.3	local	31	3	578.10	13.18	561.00	99%	552600	0	0	578.108957
escherichia_coli.k32.r_0.4.S_local.k_31.d_3	escherichia_coli.k32	0.4	local	31	3	448.29	10.94	432.07	98%	1101476	0	0	448.302803
escherichia_coli.k32.r_0.5.S_local.k_31.d_3	escherichia_coli.k32	0.5	local	31	3	494.72	9.15	479.44	98%	1101480	0	0	494.731953
escherichia_coli.k32.r_0.6.S_local.k_31.d_3	escherichia_coli.k32	0.6	local	31	3	506.93	7.09	493.30	98%	1101480	0	0	506.934931
escherichia_coli.k32.r_0.7.S_local.k_31.d_3	escherichia_coli.k32	0.7	local	31	3	348.33	6.44	335.23	98%	2199196	0	0	348.336911
escherichia_coli.k32.r_0.8.S_local.k_31.d_3	escherichia_coli.k32	0.8	local	31	3	300.62	4.58	286.97	96%	2199240	0	0	300.63079
escherichia_coli.k32.r_0.9.S_local.k_31.d_3	escherichia_coli.k32	0.9	local	31	3	301.54	3.98	286.28	96%	2199240	0	0	301.550016
escherichia_coli.k32.r_1.0.S_local.k_31.d_3	escherichia_coli.k32	1.0	local	31	3	209.44	2.18	206.76	99%	2199240	0	0	209.447331
escherichia_coli.k32.r_0.000000001.S_local.k_31.d_4	escherichia_coli.k32	0.000000001	local	31	4	0.00	0.00	0.00	100%	4068	0	0	0.008329
escherichia_coli.k32.r_0.0001.S_local.k_31.d_4	escherichia_coli.k32	0.0001	local	31	4	0.31	0.02	0.28	99%	4468	0	0	0.316619
escherichia_coli.k32.r_0.001.S_local.k_31.d_4	escherichia_coli.k32	0.001	local	31	4	3.83	0.11	3.68	99%	6260	0	0	3.834776
escherichia_coli.k32.r_0.01.S_local.k_31.d_4	escherichia_coli.k32	0.01	local	31	4	42.72	1.10	41.35	99%	37996	0	0	42.726737
escherichia_coli.k32.r_0.05.S_local.k_31.d_4	escherichia_coli.k32	0.05	local	31	4	275.48	5.13	268.84	99%	141072	0	0	275.490603
escherichia_coli.k32.r_0.1.S_local.k_31.d_4	escherichia_coli.k32	0.1	local	31	4	573.20	9.21	561.67	99%	278160	0	0	573.212568
escherichia_coli.k32.r_0.2.S_local.k_31.d_4	escherichia_coli.k32	0.2	local	31	4	928.57	10.49	914.48	99%	552600	0	0	928.577228
escherichia_coli.k32.r_0.3.S_local.k_31.d_4	escherichia_coli.k32	0.3	local	31	4	1504.11	11.12	1487.83	99%	552600	0	0	1504.121352
escherichia_coli.k32.r_0.4.S_local.k_31.d_4	escherichia_coli.k32	0.4	local	31	4	1069.03	9.54	1052.90	99%	1101480	0	0	1069.037989
escherichia_coli.k32.r_0.5.S_local.k_31.d_4	escherichia_coli.k32	0.5	local	31	4	1056.92	7.52	1042.17	99%	1101480	0	0	1056.933796
escherichia_coli.k32.r_0.6.S_local.k_31.d_4	escherichia_coli.k32	0.6	local	31	4	989.11	6.40	974.83	99%	1101480	0	0	989.114999
escherichia_coli.k32.r_0.7.S_local.k_31.d_4	escherichia_coli.k32	0.7	local	31	4	454.01	4.15	443.70	98%	2199344	0	0	454.020134
escherichia_coli.k32.r_0.8.S_local.k_31.d_4	escherichia_coli.k32	0.8	local	31	4	410.06	3.59	395.74	97%	2199240	0	0	410.06502
escherichia_coli.k32.r_0.9.S_local.k_31.d_4	escherichia_coli.k32	0.9	local	31	4	405.60	3.75	390.29	97%	2199240	0	0	405.604816
escherichia_coli.k32.r_1.0.S_local.k_31.d_4	escherichia_coli.k32	1.0	local	31	4	346.33	2.15	343.63	99%	2199240	0	0	346.342104
escherichia_coli.k32.r_0.000000001.S_local.k_31.d_5	escherichia_coli.k32	0.000000001	local	31	5	0.00	0.00	0.00	75%	4068	0	0	0.007954
escherichia_coli.k32.r_0.0001.S_local.k_31.d_5	escherichia_coli.k32	0.0001	local	31	5	1.08	0.01	1.06	99%	4468	0	0	1.087054
escherichia_coli.k32.r_0.001.S_local.k_31.d_5	escherichia_coli.k32	0.001	local	31	5	15.75	0.13	15.57	99%	6260	0	0	15.758474
escherichia_coli.k32.r_0.01.S_local.k_31.d_5	escherichia_coli.k32	0.01	local	31	5	145.35	1.33	143.65	99%	37996	0	0	145.35973
escherichia_coli.k32.r_0.05.S_local.k_31.d_5	escherichia_coli.k32	0.05	local	31	5	930.07	5.50	922.99	99%	141072	0	0	930.078378
escherichia_coli.k32.r_0.1.S_local.k_31.d_5	escherichia_coli.k32	0.1	local	31	5	1749.16	8.71	1737.70	99%	278160	0	0	1749.167242
escherichia_coli.k32.r_0.2.S_local.k_31.d_5	escherichia_coli.k32	0.2	local	31	5	2778.25	11.91	2761.66	99%	552600	0	0	2778.254565
escherichia_coli.k32.r_0.3.S_local.k_31.d_5	escherichia_coli.k32	0.3	local	31	5	4292.68	12.50	4273.65	99%	552600	0	0	4292.685948
escherichia_coli.k32.r_0.4.S_local.k_31.d_5	escherichia_coli.k32	0.4	local	31	5	2443.78	8.63	2428.95	99%	1101480	0	0	2443.792062
escherichia_coli.k32.r_0.5.S_local.k_31.d_5	escherichia_coli.k32	0.5	local	31	5	2330.04	6.41	2316.26	99%	1101480	0	0	2330.051008
escherichia_coli.k32.r_0.6.S_local.k_31.d_5	escherichia_coli.k32	0.6	local	31	5	2191.69	5.48	2177.38	99%	1101480	0	0	2191.696201
escherichia_coli.k32.r_0.7.S_local.k_31.d_5	escherichia_coli.k32	0.7	local	31	5	925.90	4.46	914.59	99%	2199240	0	0	925.912573
escherichia_coli.k32.r_0.8.S_local.k_31.d_5	escherichia_coli.k32	0.8	local	31	5	769.98	4.94	756.93	98%	2199240	0	0	769.984494
escherichia_coli.k32.r_0.9.S_local.k_31.d_5	escherichia_coli.k32	0.9	local	31	5	884.56	4.25	868.11	98%	2199240	0	0	884.566327
escherichia_coli.k32.r_1.0.S_local.k_31.d_5	escherichia_coli.k32	1.0	local	31	5	891.77	2.58	888.41	99%	2199236	0	0	891.780545
